Time (h),Temperature (degC)
0,7.999996070262153
1,8.012402386718978
2,8.02414769372465
3,8.038517583388968
4,8.053927460020338
5,8.07024541619554
6,8.086563372370687
7,8.10288132854582
8,8.123176705416208
9,8.143655574929381
10,8.164134444442327
11,8.184613313955353
12,8.20509218346845
13,8.225571052981476
14,8.246049922494635
15,8.265881541997496
16,8.285551339541922
17,8.305221137086498
18,8.324890934630933
19,8.344560732175486
20,8.364230529719975
21,8.383900327264602
22,8.403570124809013
23,8.423239922353538
24,8.442909719897953
25,8.462579517442537
26,8.48224931498717
27,8.501919112531628
28,8.521588910076149
29,8.541328497939816
30,8.56114125857106
31,8.580954019202347
32,8.600766779833767
33,8.620579540465114
34,8.640392301096332
35,8.660205061727849
36,8.680017822359135
37,8.699830582990575
38,8.719643343621795
39,8.739456104253206
40,8.75926886488453
41,8.779081625515863
42,8.798894386147255
43,8.818707146778452
44,8.838519907409832
45,8.8583326680412
46,8.87814542867249
47,8.897958189303845
48,8.917770949935267
49,8.937583710566557
50,8.957396471197907
51,8.977209231829248
52,8.997021992460589
53,9.01683475309188
54,9.036647513723317
55,9.056460274354638
56,9.07627303498589
57,9.096085795617357
58,9.113672283294543
59,9.130909916708859
60,9.148147550123086
61,9.165385183537405
62,9.18262281695186
63,9.199860450366055
64,9.217098083780398
65,9.234335717194643
66,9.25157335060901
67,9.268810984023382
68,9.286048617437636
69,9.303286250851965
70,9.320523884266388
71,9.33776151768059
72,9.354999151094903
73,9.372236784509242
74,9.389474417923527
75,9.406712051337722
76,9.423949684752131
77,9.441187318166513
78,9.458424951580819
79,9.475662584995057
80,9.49290021840944
81,9.51013785182367
82,9.527375485237934
83,9.544613118652379
84,9.56185075206667
85,9.579088385480821
86,9.59632601889519
87,9.613563652309459
88,9.630801285723981
89,9.648038919138214
90,9.665276552552468
91,9.682514185966834
92,9.699751819381243
93,9.716989452795262
94,9.73422708620964
95,9.751464719624009
96,9.768702353038305
97,9.785939986452606
98,9.803177619866936
99,9.820415253281361
100,9.837652886695675
101,9.854890520109919
102,9.872128153524226
103,9.889365786938516
104,9.906603420353036
105,9.923841053767191
106,9.94107868718159
107,9.958316320595744
108,9.97555395401013
109,9.992791587424405
110,10.010029220838865
111,10.02726685425318
112,10.044504487667433
113,10.061742121081553
114,10.07897975449607
115,10.095180670145567
116,10.110738721659757
117,10.126296773173525
118,10.141854824687785
119,10.15741287620153
120,10.172970927715648
121,10.188528979229654
122,10.204087030743782
123,10.219645082257808
124,10.235203133771645
125,10.25076118528568
126,10.266319236799857
127,10.28187728831366
128,10.297435339827706
129,10.312993391341676
130,10.328551442855783
131,10.344109494369663
132,10.359667545883605
133,10.375225597397769
134,10.390783648911677
135,10.406341700425795
136,10.421899751939655
137,10.437457803453707
138,10.453015854967749
139,10.46857390648177
140,10.484131957995666
141,10.499690009509802
142,10.515248061023824
143,10.53080611253788
144,10.546364164051791
